home_page.py                49 INFO     定位今日接单
remote_connection.py       388 DEBUG    POST http://127.0.0.1:4723/wd/hub/session/49709bb9-761b-4bdb-979c-e6798579da39/element {"using": "xpath", "value": "//*[contains(@resource-id, 'announce_main_info_title') and @text='\u4eca\u65e5\u63a5\u5355']", "sessionId": "49709bb9-761b-4bdb-979c-e6798579da39"}
connectionpool.py          205 DEBUG    Starting new HTTP connection (1): 127.0.0.1:4723
connectionpool.py          393 DEBUG    http://127.0.0.1:4723 "POST /wd/hub/session/49709bb9-761b-4bdb-979c-e6798579da39/element HTTP/1.1" 200 137
remote_connection.py       440 DEBUG    Finished Request
remote_connection.py       388 DEBUG    POST http://127.0.0.1:4723/wd/hub/session/49709bb9-761b-4bdb-979c-e6798579da39/element/86b7e196-a9d3-4c75-b07e-1d491da2862b/click {"id": "86b7e196-a9d3-4c75-b07e-1d491da2862b", "sessionId": "49709bb9-761b-4bdb-979c-e6798579da39"}
connectionpool.py          205 DEBUG    Starting new HTTP connection (1): 127.0.0.1:4723
connectionpool.py          393 DEBUG    http://127.0.0.1:4723 "POST /wd/hub/session/49709bb9-761b-4bdb-979c-e6798579da39/element/86b7e196-a9d3-4c75-b07e-1d491da2862b/click HTTP/1.1" 200 14
remote_connection.py       440 DEBUG    Finished Request
base_page.py                56 INFO     get 今日接单 screenshot
remote_connection.py       388 DEBUG    GET http://127.0.0.1:4723/wd/hub/session/49709bb9-761b-4bdb-979c-e6798579da39/screenshot {"sessionId": "49709bb9-761b-4bdb-979c-e6798579da39"}
connectionpool.py          205 DEBUG    Starting new HTTP connection (1): 127.0.0.1:4723
connectionpool.py          393 DEBUG    http://127.0.0.1:4723 "GET /wd/hub/session/49709bb9-761b-4bdb-979c-e6798579da39/screenshot HTTP/1.1" 200 197426
remote_connection.py       440 DEBUG    Finished Request
h5_page.py                  25 INFO     定位h5页面title
remote_connection.py       388 DEBUG    POST http://127.0.0.1:4723/wd/hub/session/49709bb9-761b-4bdb-979c-e6798579da39/element {"using": "id", "value": "title_bar_name", "sessionId": "49709bb9-761b-4bdb-979c-e6798579da39"}
connectionpool.py          205 DEBUG    Starting new HTTP connection (1): 127.0.0.1:4723
connectionpool.py          393 DEBUG    http://127.0.0.1:4723 "POST /wd/hub/session/49709bb9-761b-4bdb-979c-e6798579da39/element HTTP/1.1" 200 137
remote_connection.py       440 DEBUG    Finished Request
remote_connection.py       388 DEBUG    GET http://127.0.0.1:4723/wd/hub/session/49709bb9-761b-4bdb-979c-e6798579da39/element/c1881fdf-9602-41e2-adfb-aab36a762dc9/attribute/text {"name": "text", "id": "c1881fdf-9602-41e2-adfb-aab36a762dc9", "sessionId": "49709bb9-761b-4bdb-979c-e6798579da39"}
connectionpool.py          205 DEBUG    Starting new HTTP connection (1): 127.0.0.1:4723
connectionpool.py          393 DEBUG    http://127.0.0.1:4723 "GET /wd/hub/session/49709bb9-761b-4bdb-979c-e6798579da39/element/c1881fdf-9602-41e2-adfb-aab36a762dc9/attribute/text HTTP/1.1" 200 24
remote_connection.py       440 DEBUG    Finished Request
h5_page.py                  13 INFO     定位h5页面返回按钮
remote_connection.py       388 DEBUG    POST http://127.0.0.1:4723/wd/hub/session/49709bb9-761b-4bdb-979c-e6798579da39/element {"using": "id", "value": "titlebar_left_back", "sessionId": "49709bb9-761b-4bdb-979c-e6798579da39"}
connectionpool.py          205 DEBUG    Starting new HTTP connection (1): 127.0.0.1:4723
connectionpool.py          393 DEBUG    http://127.0.0.1:4723 "POST /wd/hub/session/49709bb9-761b-4bdb-979c-e6798579da39/element HTTP/1.1" 200 137
remote_connection.py       440 DEBUG    Finished Request
remote_connection.py       388 DEBUG    POST http://127.0.0.1:4723/wd/hub/session/49709bb9-761b-4bdb-979c-e6798579da39/element/4b0c962b-09dd-4e27-907a-fc117c10613a/click {"id": "4b0c962b-09dd-4e27-907a-fc117c10613a", "sessionId": "49709bb9-761b-4bdb-979c-e6798579da39"}
connectionpool.py          205 DEBUG    Starting new HTTP connection (1): 127.0.0.1:4723
connectionpool.py          393 DEBUG    http://127.0.0.1:4723 "POST /wd/hub/session/49709bb9-761b-4bdb-979c-e6798579da39/element/4b0c962b-09dd-4e27-907a-fc117c10613a/click HTTP/1.1" 200 14
remote_connection.py       440 DEBUG    Finished Request
