"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","首页","点击更多按钮","0","0","1","0","0"
"","首页","点击消息中心入口","0","0","1","0","0"
"","首页","点击合规按钮","0","0","1","0","0"
"","首页","点击热力图按钮","0","0","1","0","0"
"","首页","点击接单按钮","0","1","0","0","0"
"","首页","点击奖励按钮","0","0","1","0","0"
"","首页","点击今日流水","0","0","1","0","0"
"","首页","点击消息盒子入口","0","0","1","0","0"
"","首页","点击小桔车服tab","0","0","1","0","0"
"","首页","进入首页","0","0","1","0","0"
"","首页","点击模式按钮","0","0","1","0","0"
"","首页","点击今日接单","0","0","1","0","0"
"","首页","点击个人中心入口","0","0","1","0","0"
"","首页","点击服务分","0","0","1","0","0"
