"Status","Name","Duration in ms","Description"
"passed","testcase.test_home_page.TestHomePage.test_click_more_btn","4217",""
"passed","testcase.test_home_page.TestHomePage.test_click_msg_center","2680",""
"passed","testcase.test_home_page.TestHomePage.test_click_compliance","5226",""
"passed","testcase.test_home_page.TestHomePage.test_click_hot_map","4021",""
"broken","testcase.test_home_page.TestHomePage.test_click_start_off_btn","3304",""
"passed","testcase.test_home_page.TestHomePage.test_click_reward","5683",""
"passed","testcase.test_home_page.TestHomePage.test_click_today_money","4577",""
"passed","testcase.test_home_page.TestHomePage.test_click_msg_center_content","4221",""
"passed","testcase.test_home_page.TestHomePage.test_click_carlife_tab","4957",""
"passed","testcase.test_home_page.TestHomePage.test_click_homepage_tab","46307",""
"passed","testcase.test_home_page.TestHomePage.test_click_set_mode_btn","2081",""
"passed","testcase.test_home_page.TestHomePage.test_click_today_order","4305",""
"passed","testcase.test_home_page.TestHomePage.test_click_person_center","2494",""
"passed","testcase.test_home_page.TestHomePage.test_click_service_count","4176",""
